Empleado_ID,Fecha,Calificacion,Comentarios
41,2022-12-07,7.01,Occur west director change stay support white name.
36,2024-12-14,7.93,Subject soon better first message physical none never.
5,2020-12-27,9.72,Coach meet join call listen chair interview.
14,2022-09-28,4.3,Buy rise major.
35,2024-06-07,4.44,Home cell develop describe own test age.
4,2024-05-24,6.69,Politics relationship time.
9,2024-01-07,3.18,Baby song effort without.
50,2023-11-20,3.06,Final key budget low.
22,2020-07-02,9.49,Physical social along either.
18,2020-12-07,2.41,Oil modern involve among agent.
31,2020-01-17,5.87,Window glass who air power suffer.
20,2021-12-02,9.71,Better wrong drop down as event color.
23,2020-02-19,5.78,Effort pass imagine lawyer reveal their never.
3,2021-05-01,9.56,Away show charge.
11,2020-02-18,6.84,Decide simple operation character consumer trade.
29,2021-08-02,9.41,Chair century allow decade our study interesting bit.
12,2024-05-28,2.61,Matter score maybe nation.
45,2022-12-09,1.07,Wrong environmental crime most.
7,2024-04-25,2.39,Face school require dinner sit.
45,2024-07-02,4.36,Huge right wear last cup.
50,2022-05-28,1.09,Boy discover measure eat unit.
7,2020-01-03,2.83,Least drug source single impact public.
19,2024-11-06,1.81,Color set put within.
27,2021-12-25,6.86,Story method hour agent throughout.
18,2023-04-21,3.71,Huge indicate west.
38,2022-06-18,8.18,Process carry movement high TV.
5,2021-05-02,7.19,Night require billion strategy.
15,2020-12-13,3.4,Worry among side.
2,2024-01-06,7.36,Mr pass edge early international trade.
35,2021-03-24,6.22,There care door within.
41,2023-09-10,8.76,White force two like finally finish those skill.
47,2021-07-20,3.99,Wrong employee identify leg affect measure toward.
28,2021-01-24,7.54,Free tough individual face.
21,2021-04-11,4.66,Daughter court group herself.
36,2020-06-02,5.86,Nation early ball off.
35,2024-11-23,4.1,Writer table could letter.
15,2025-01-30,7.11,Man send meet order condition.
15,2022-01-19,6.39,Apply medical today tax base.
39,2024-02-19,6.63,Have right ok natural rock nor hear.
47,2022-02-19,3.85,Set amount sometimes computer camera huge drive.
1,2025-01-19,4.0,Set smile answer PM also free.
15,2021-06-24,2.63,Major technology idea.
7,2024-09-06,4.9,Professional operation country three perform.
35,2024-05-01,8.9,Official choose compare detail customer ready race.
30,2021-10-07,9.58,Box real soon treatment culture voice like.
14,2023-05-28,1.36,Teach raise admit suggest image identify knowledge.
10,2022-02-17,2.1,American state shoulder this occur.
47,2021-10-30,1.33,Air staff else south condition realize end.
36,2022-07-10,2.15,Scientist when center.
40,2024-02-15,4.87,Character situation kind possible not respond watch.
